"name"	"node"	"seed"	"weight"	"priority"	"rank"	"description"
"ERAP2"	1	1	16.8092637774859	0.0161285750901676	1	"endoplasmic reticulum aminopeptidase 2"
"ETS2"	1	1	11.9184223410338	0.0114266027138892	2	"ETS proto-oncogene 2, transcription factor"
"LCE3D"	1	1	9.36070153741586	0.0100987222540777	3	"late cornified envelope 3D"
"LNPEP"	1	1	10.0191785001541	0.00971987790026602	4	"leucyl and cystinyl aminopeptidase"
"DES"	1	1	9.08208896307491	0.00869139985858762	5	"desmin"
"LCE3A"	1	1	7.60447856856812	0.00806043353215115	6	"late cornified envelope 3A"
"HSD3B7"	1	1	7.80755820551293	0.00747375612113289	7	"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7"
"CAST"	1	1	7.71037705592515	0.00736804489085563	8	"calpastatin"
"TNFRSF1A"	1	1	7.19258555653833	0.0069643213104542	9	"TNF receptor superfamily member 1A"
"VARS2"	1	1	7.24123294509324	0.00691976353641525	10	"valyl-tRNA synthetase 2, mitochondrial"
"REV3L"	1	1	7.0775156204182	0.00679149915939702	11	"REV3 like, DNA directed polymerase zeta catalytic subunit"
"RPL34"	1	1	7.03409992061101	0.00673880306223777	12	"ribosomal protein L34"
"STAT2"	1	1	6.79170998071553	0.00655249303472565	13	"signal transducer and activator of transcription 2"
"CNPY2"	1	1	6.63050559817298	0.0063584714924183	14	"canopy FGF signaling regulator 2"
"AOAH"	0	1	6.37730793219861	0.00608468220797538	15	"acyloxyacyl hydrolase"
"ADRA1B"	1	1	6.08998939841653	0.00583074451136734	16	"adrenoceptor alpha 1B"
"LCE3E"	1	1	4.75763915518162	0.00539552454788858	17	"late cornified envelope 3E"
"DDX39B"	1	1	5.5155021936164	0.005300571366403	18	"DExD-box helicase 39B"
"TTC1"	1	1	5.4766953134986	0.00525095590131867	19	"tetratricopeptide repeat domain 1"
"ERAP1"	1	1	5.26001500655369	0.00517942404877114	20	"endoplasmic reticulum aminopeptidase 1"
"SNORD117"	0	1	5.3255096536164	0.00508114617990376	21	"small nucleolar RNA, C/D box 117"
"ICAM1"	1	1	5.00105263949353	0.00489676577435466	22	"intercellular adhesion molecule 1"
"ZMIZ1"	1	1	5.1131858327029	0.0048858416024883	23	"zinc finger MIZ-type containing 1"
"MRPL4"	1	1	5.00105263949353	0.00479624371577115	24	"mitochondrial ribosomal protein L4"
"MICA"	0	1	4.86737465220807	0.0046440329149404	25	"MHC class I polypeptide-related sequence A"
"TRAF3IP2-AS1"	0	1	4.81840119760802	0.00459730662995681	26	"TRAF3IP2 antisense RNA 1"
"TYK2"	1	1	4.70229099466913	0.00458557498505034	27	"tyrosine kinase 2"
"PPP2R3C"	1	1	4.65461253182173	0.0044563267236135	28	"protein phosphatase 2 regulatory subunit B''gamma"
"STX1B"	1	1	4.55089383043676	0.00437127685426152	29	"syntaxin 1B"
"RNU4-51P"	0	1	4.5107040619467	0.00430372831968726	30	"RNA, U4 small nuclear 51, pseudogene"
"RNF114"	1	1	4.41782220824115	0.00424130010551542	31	"ring finger protein 114"
"ITGAM"	1	1	4.31702850308627	0.00422953469236141	32	"integrin subunit alpha M"
"KIF21B"	1	1	4.05758252022519	0.00412949170078993	33	"kinesin family member 21B"
"PLCL2"	0	1	4.31190168769734	0.0041140480843342	34	"phospholipase C like 2"
"LIX1"	1	1	3.91279234648867	0.00400839192275268	35	"limb and CNS expressed 1"
"IL23R"	1	1	4.04897409462546	0.00394996314456742	36	"interleukin 23 receptor"
"HLA-DRA"	1	1	3.98780253986872	0.00394194405769845	37	"major histocompatibility complex, class II, DR alpha"
"PAPOLG"	1	1	4.09788588942888	0.00392508814804349	38	"poly(A) polymerase gamma"
"FAS"	1	1	3.98797266833565	0.00384749364077195	39	"Fas cell surface death receptor"
"HLA-DRB1"	1	1	3.73478196145782	0.00381435217021703	40	"major histocompatibility complex, class II, DR beta 1"
"IL6R"	1	1	3.88031907110329	0.00376674499533393	41	"interleukin 6 receptor"
"LCE3B"	1	1	3.154725552	0.0037637860568824	42	"late cornified envelope 3B"
